;eurogrid_0250;populacja_razem;populacja_lokale;populacja_k_razem;populacja_m_razem;populacja_00_04;populacja_05_09;populacja_10_14;populacja_15_19;populacja_20_24;populacja_25_29;populacja_30_34;populacja_35_39;populacja_40_44;populacja_45_49;populacja_50_54;populacja_55_59;populacja_60_64;populacja_65_69;populacja_70_74;populacja_75_99;msw_2012_lokale;msw_2013_lokale;msw_2014_lokale;msw_2015_lokale;msw_2016_lokale;msw_2012_popul_razem;msw_2013_popul_razem;msw_2014_popul_razem;msw_2015_popul_razem;msw_2016_popul_razem;budynki_all;budynki_mieszkalne
0;1kmN3022E5036_41;35;6;18;17;5;1;4;3;0;2;4;2;2;6;2;0;0;3;0;1;5;5;5;4;5;30;30;32;33;36;6;5
1;1kmN3022E5037_11;14;3;8;6;0;2;0;1;0;0;1;4;1;0;2;1;1;0;1;0;2;2;2;2;2;20;15;15;16;16;15;4
2;1kmN3022E5037_12;15;4;5;10;0;2;2;0;1;0;2;1;0;2;1;1;1;0;0;2;3;4;3;4;4;15;14;14;15;15;19;10
3;1kmN3022E5037_14;3;1;2;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;9;7;3;3;3;2;2
4;1kmN3022E5037_24;6;1;4;2;0;1;0;2;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;8;6;6;6;6;1;1
5;1kmN3022E5037_41;18;3;10;8;2;0;1;3;2;0;2;1;2;2;0;0;0;0;2;1;2;3;2;2;2;14;15;20;21;20;10;5
6;1kmN3022E5037_42;8;2;2;6;1;0;2;0;0;2;1;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;2;8;9;9;1;1
7;1kmN3022E5037_43;7;1;3;4;1;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;8;8;7;1;1
8;1kmN3022E5037_44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;7;8;0;0;0;3;1
9;1kmN3022E5038_11;13;2;5;8;2;0;1;1;1;1;1;1;0;2;1;0;0;0;2;0;1;1;2;2;2;5;5;12;13;13;5;3
