eurogrid_0250;;populacja_razem;populacja_lokale;populacja_k_razem;populacja_m_razem;populacja_00_04;populacja_05_09;populacja_10_14;populacja_15_19;populacja_20_24;populacja_25_29;populacja_30_34;populacja_35_39;populacja_40_44;populacja_45_49;populacja_50_54;populacja_55_59;populacja_60_64;populacja_65_69;populacja_70_74;populacja_75_99;msw_2012_lokale;msw_2013_lokale;msw_2014_lokale;msw_2015_lokale;msw_2016_lokale;msw_2012_popul_razem;msw_2013_popul_razem;msw_2014_popul_razem;msw_2015_popul_razem;msw_2016_popul_razem;budynki_all;budynki_mieszkalne;geometria92
1kmN3257E4789_11;1kmN3257E4789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((354983.76749569696 487002.9361689938, 354735.62374469935 487033.7868613396, 354766.5419110133 487281.5910062622, 355014.6855564502 487250.7399236532, 354983.76749569696 487002.9361689938)))
1kmN3257E4790_11;1kmN3257E4790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((355976.34223457915 486879.53458452504, 355728.19858869485 486910.38480311166, 355759.1163332408 487158.1873885924, 356007.25987388805 487127.3367808275, 355976.34223457915 486879.53458452504)))
1kmN3257E4791_11;1kmN3257E4791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((356968.91657158965 486756.1348908469, 356720.7730233873 486786.98463737406, 356751.6903474745 487034.78566780314, 356999.83379077434 487003.93553318735, 356968.91657158965 486756.1348908469)))
1kmN3257E4792_14;1kmN3257E4792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((357713.3470785141 486663.58635735884, 357465.2035986872 486694.4357509464, 357496.1206083019 486942.23561795335, 357744.2639834598 486911.3858371116, 357713.3470785141 486663.58635735884)))
1kmN3258E4784_11;1kmN3258E4784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((350144.57201395906 488611.21857773233, 349896.42805518577 488642.07324685436, 349927.3513710095 488889.8848811062, 350175.4952222359 488859.02981646266, 350144.57201395906 488611.21857773233)))
1kmN3258E4785_11;1kmN3258E4785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((351137.1474942685 488487.8011182416, 350889.00367647933 488518.6553007774, 350919.9265626155 488766.46535457205, 351168.0702731856 488735.6107776053, 351137.1474942685 488487.8011182416)))
1kmN3258E4786_11;1kmN3258E4786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((352129.722429254 488364.3856008537, 351881.5787450087 488395.23929849826, 351912.5012027619 488643.0477762213, 352160.6447801227 488612.1936852485, 352129.722429254 488364.3856008537)))
1kmN3258E4787_11;1kmN3258E4787;174;45;90;84;10;9;5;10;13;11;17;9;9;13;14;16;15;8;4;11;43;43;43;42;42;177;172;171;171;169;0;0;MULTIPOLYGON (((353122.29684865044 488240.9720188277, 352874.1532905133 488271.8252332583, 352905.0753212024 488519.6321393056, 353153.21877278714 488488.77853262797, 353122.29684865044 488240.9720188277)))
1kmN3258E4788_11;1kmN3258E4788;294;77;155;139;9;14;13;19;16;16;19;26;28;21;20;17;21;25;9;21;72;73;72;72;72;308;305;301;306;299;0;0;MULTIPOLYGON (((354114.87078220514 488117.56036539376, 353866.7273427373 488148.4130983213, 353897.64894768276 488396.21843706537, 354145.79228091874 488365.3653130131, 354114.87078220514 488117.56036539376)))
1kmN3258E4789_11;1kmN3258E4789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((355107.4442596503 487994.15063383244, 354859.3009314225 488025.0028869137, 354890.22211192956 488272.80666276626, 355138.36533425224 488241.95401963685, 355107.4442596503 487994.15063383244)))
1kmN3258E4790_11;1kmN3258E4790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((356100.01731073903 487870.7428173553, 355851.8740863121 487901.5945923049, 355882.79484369594 488149.39680964034, 356130.93796254706 488118.54464575555, 356100.01731073903 487870.7428173553)))
1kmN3258E4791_11;1kmN3258E4791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((357092.5899652078 487747.33690924104, 356844.446837147 487778.18820773344, 356875.36717272695 488025.98887094576, 357123.5101955377 487995.1371846162, 357092.5899652078 487747.33690924104)))
1kmN3258E4792_11;1kmN3258E4792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((358085.16225280514 487623.93290272355, 357837.01921367226 487654.7837264491, 357867.9391287494 487902.5828399239, 358116.082062959 487871.7316294592, 358085.16225280514 487623.93290272355)))
1kmN3258E4793_11;1kmN3258E4793;8;1;3;5;1;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;7;7;7;8;8;0;0;MULTIPOLYGON (((359077.7342032611 487500.5307910554, 358829.5912456288 487531.38114170823, 358860.5107415217 487779.1787098432, 359108.6535945614 487748.3279735502, 359077.7342032611 487500.5307910554)))
1kmN3258E4794_11;1kmN3258E4794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((360070.3058463341 487377.1305674957, 359822.1629627573 487407.980446741, 359853.08204077784 487655.77647392265, 360101.22482008755 487624.9262101231, 360070.3058463341 487377.1305674957)))
1kmN3258E4795_11;1kmN3258E4795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((361062.8772117546 487253.73222527653, 360814.73439480085 487284.5816348251, 360845.6530562616 487532.3761254428, 361093.7957692824 487501.526332438, 361062.8772117546 487253.73222527653)))
1kmN3258E4796_11;1kmN3258E4796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((362055.44832927047 487130.3357576635, 361807.30557150766 487161.1846991852, 361838.22381772235 487408.977657632, 362086.3664718774 487378.1283337455, 362055.44832927047 487130.3357576635)))
1kmN3258E4797_11;1kmN3258E4797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((363048.01922862127 487006.94115789793, 362799.87652261276 487037.78963309154, 362830.79435489234 487285.58106374927, 363078.9369576281 487254.7322072871, 363048.01922862127 487006.94115789793)))
1kmN3259E4782_11;1kmN3259E4782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((348283.1201164968 489849.31643146276, 348034.97628678073 489880.17366935033, 348065.90348904993 490127.98810373805, 348314.0472102298 490097.13046836015, 348283.1201164968 489849.31643146276)))
1kmN3259E4783_11;1kmN3259E4783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((349275.6950467091 489725.8887163168, 349027.5513715213 489756.7454598574, 349058.4781401218 490004.55830593314, 349306.62170708925 489973.7011660114, 349275.6950467091 489725.8887163168)))
1kmN3259E4784_11;1kmN3259E4784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((350268.26937735453 489602.46297435276, 350020.12584927445 489633.31922522746, 350051.05218550906 489881.13048738707, 350299.1956057071 489850.27384122275, 350268.26937735453 489602.46297435276)))
1kmN3259E4785_11;1kmN3259E4785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((351260.84313818865 489479.03919880465, 351012.6997497766 489509.89495870285, 351043.6256549696 489757.7046413487, 351291.76893582504 489726.84848723933, 351260.84313818865 489479.03919880465)))
1kmN3259E4786_11;1kmN3259E4786;109;35;52;57;6;3;2;12;6;8;7;9;11;6;6;9;8;11;2;3;36;36;36;35;34;116;115;110;111;110;0;0;MULTIPOLYGON (((352253.4163589494 489355.617382925, 352005.2731027634 489386.472653538, 352036.19857822644 489634.2807610445, 352284.3417271832 489603.42509731743, 352253.4163589494 489355.617382925)))
1kmN3259E4787_11;1kmN3259E4787;130;29;70;60;8;9;8;9;3;7;9;8;18;4;4;4;14;13;0;12;30;29;29;29;29;123;123;128;129;130;0;0;MULTIPOLYGON (((353245.9890693737 489232.197519958, 352997.84593798604 489263.05230297707, 353028.77098502347 489510.858839741, 353276.91400951473 489480.00366471056, 353245.9890693737 489232.197519958)))
1kmN3259E4788_11;1kmN3259E4788;4;1;1;3;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;1;1;1;1;4;4;4;4;4;0;0;MULTIPOLYGON (((354238.56129920605 489108.7796031544, 353990.4182851788 489139.6339002792, 354021.3429051167 489387.43887067493, 354269.4858125693 489356.58418265544, 354238.56129920605 489108.7796031544)))
1kmN3259E4789_11;1kmN3259E4789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((355231.1330781898 488985.36362577695, 354982.9901740869 489016.21743867267, 355013.91436823097 489264.02084710915, 355262.05716609454 489233.1666444056, 355231.1330781898 488985.36362577695)))
1kmN3259E4790_11;1kmN3259E4790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((356223.70443606825 488861.9495810494, 355975.5616344513 488892.8029114092, 356006.4854041172 489140.60476227384, 356254.6280998177 489109.7510431977, 356223.70443606825 488861.9495810494)))
1kmN3259E4791_11;1kmN3259E4791;113;26;62;51;4;5;8;5;11;8;6;8;6;11;8;12;10;2;2;7;26;26;26;26;26;120;119;118;116;113;0;0;MULTIPOLYGON (((357216.2754025744 488738.53746223915, 356968.13269601087 488769.3903117534, 356999.05604251404 489017.19060942717, 357247.1986434907 488986.3373722937, 357216.2754025744 488738.53746223915)))
1kmN3259E4792_11;1kmN3259E4792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((358208.84600745415 488615.1272625821, 357960.70338851295 488645.9796329448, 357991.62631316355 488893.778381818, 358239.76882684627 488862.92562494706, 358208.84600745415 488615.1272625821)))
1kmN3259E4793_11;1kmN3259E4793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((359201.41628046334 488491.71897532605, 358953.2737416959 488522.57086822204, 358984.1962458064 488770.36807269044, 359232.3386796391 488739.5157943815, 359201.41628046334 488491.71897532605)))
1kmN3259E4794_11;1kmN3259E4794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((360193.9862513201 488368.31259373855, 359945.8437853052 488399.1640108563, 359976.7658701909 488646.9596752962, 360224.9082316074 488616.1078738747, 360193.9862513201 488368.31259373855)))
