,populacja_razem,populacja_lokale,populacja_k_razem,populacja_m_razem,populacja_00_04,populacja_05_09,populacja_10_14,populacja_15_19,populacja_20_24,populacja_25_29,populacja_30_34,populacja_35_39,populacja_40_44,populacja_45_49,populacja_50_54,populacja_55_59,populacja_60_64,populacja_65_69,populacja_70_74,populacja_75_99,msw_2012_lokale,msw_2013_lokale,msw_2014_lokale,msw_2015_lokale,msw_2016_lokale,msw_2012_popul_razem,msw_2013_popul_razem,msw_2014_popul_razem,msw_2015_popul_razem,msw_2016_popul_razem,budynki_all,budynki_mieszkalne,geometry,war
3381,44,13,25,19,5,3,4,5,1,4,5,4,3,0,2,3,1,0,2,2,7,9,10,13,13,30,38,41,44,44,11,10,"POLYGON ((19.87596151050603 49.97867306659474, 19.87250250018573 49.97897484342514, 19.87296457556385 49.98119931866814, 19.87642374276784 49.98089752569805, 19.87596151050603 49.97867306659474))",True
3382,30,10,15,15,1,0,2,2,6,3,1,1,2,5,2,3,1,0,1,0,8,8,8,8,10,34,32,31,30,30,15,10,"POLYGON ((19.87549933196975 49.97644860330923, 19.87204047851575 49.97675036400196, 19.87250250018573 49.97897484342514, 19.87596151050603 49.97867306659474, 19.87549933196975 49.97644860330923))",True
3383,44,16,19,25,8,7,3,1,1,1,6,6,7,2,0,2,0,0,0,0,6,11,12,15,16,13,28,33,43,44,20,20,"POLYGON ((19.87204047851575 49.97675036400196, 19.86858158523014 49.97705201969225, 19.86904345002694 49.97927651524786, 19.87250250018573 49.97897484342514, 19.87204047851575 49.97675036400196))",True
3384,71,24,38,33,10,16,7,0,0,3,2,16,13,2,2,0,0,0,0,0,7,14,19,23,24,25,44,62,68,71,26,25,"POLYGON ((19.87250250018573 49.97897484342514, 19.86904345002694 49.97927651524786, 19.86950536851433 49.98150100662514, 19.87296457556385 49.98119931866814, 19.87250250018573 49.97897484342514))",True
3385,9,3,5,4,1,0,0,0,0,2,2,0,0,1,1,1,0,0,0,1,2,2,2,3,3,8,9,10,9,9,2,2,"POLYGON ((19.87503720715013 49.97422413584113, 19.87157851054473 49.97452588039804, 19.87204047851575 49.97675036400196, 19.87549933196975 49.97644860330923, 19.87503720715013 49.97422413584113))",True
3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.87457513603814 49.97199966419014, 19.87111659626404 49.97230139261315, 19.87157851054473 49.97452588039804, 19.87503720715013 49.97422413584113, 19.87457513603814 49.97199966419014))",True
3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"POLYGON ((19.87111659626404 49.97230139261315, 19.86765801667254 49.97260301604435, 19.86811977411493 49.97482751995795, 19.87157851054473 49.97452588039804, 19.87111659626404 49.97230139261315))",True
3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.87157851054473 49.97452588039804, 19.86811977411493 49.97482751995795, 19.86858158523014 49.97705201969225, 19.87204047851575 49.97675036400196, 19.87157851054473 49.97452588039804))",True
3397,24,8,12,12,1,1,3,4,1,1,1,1,4,4,0,0,2,1,0,0,4,7,7,8,8,16,21,21,25,24,10,9,"POLYGON ((19.86811977411493 49.97482751995795, 19.86466099787364 49.97512905451875, 19.86512265212604 49.97735357037823, 19.86858158523014 49.97705201969225, 19.86811977411493 49.97482751995795))",True
3406,29,9,17,12,1,1,3,2,4,2,0,3,2,1,3,0,3,2,0,2,9,9,9,9,9,29,29,29,29,29,10,9,"POLYGON ((19.86466099787364 49.97512905451875, 19.86120218183373 49.97543048407866, 19.86166367921634 49.97765501605784, 19.86512265212604 49.97735357037823, 19.86466099787364 49.97512905451875))",True
3407,29,9,17,12,1,1,3,2,4,2,0,3,2,1,3,0,3,2,0,2,9,9,9,9,9,29,29,29,29,29,10,9,"POLYGON ((19.86466099787364 49.97512905451875, 19.86120218183373 49.97543048407866, 19.86166367921634 49.97765501605784, 19.86512265212604 49.97735357037823, 19.86466099787364 49.97512905451875))",True
3408,29,9,17,12,1,1,3,2,4,2,0,3,2,1,3,0,3,2,0,2,9,9,9,9,9,29,29,29,29,29,10,9,"POLYGON ((19.86466099787364 49.97512905451875, 19.86120218183373 49.97543048407866, 19.86166367921634 49.97765501605784, 19.86512265212604 49.97735357037823, 19.86466099787364 49.97512905451875))",True
3409,29,9,17,12,1,1,3,2,4,2,0,3,2,1,3,0,3,2,0,2,9,9,9,9,9,29,29,29,29,29,10,9,"POLYGON ((19.86466099787364 49.97512905451875, 19.86120218183373 49.97543048407866, 19.86166367921634 49.97765501605784, 19.86512265212604 49.97735357037823, 19.86466099787364 49.97512905451875))",True
