Miejscowoœæ;Ulica;Nr domu;Uczniowie, wychow., s³uchacze;Nauczyciele;umowa smiec;w etatach;suma etaty
Poznañ;0s.Jana III Sobieskiego;108;149;13;10;1.49;14.49
Poznañ;28 Czerwca 1956;290;24;2;0;0.0;2.0
Poznañ;28 Czerwca 1956r.;135/147;63;0;0;0.0;0.0
Poznañ;B. Chrobrego;106;125;11;3;0.38;11.38
Poznañ;Bartoszycka;7;35;3;0;0.0;3.0
Poznañ;Berwiñskigo;2/4;57;23;2;1.1;24.1
Poznañ;Biskupiñska;65;50;5;6;1.61;6.61
Poznañ;BliŸni¹t;12/2;22;2;1;0.5;2.5
Poznañ;Bogusza;8a;39;5;0;0.0;5.0
Poznañ;Bosa;15;5;2;0;0.0;2.0
Poznañ;Bosa;16;75;6;5;0.57;6.57
Poznañ;Brzeska;7;33;1;3;1.75;2.75
Poznañ;Bukowska;47a;118;9;2;1.5;10.5
Poznañ;Bu³garska;19;71;4;3;2.39;6.39
Poznañ;Bydgoska;4a;12;0;0;0.0;0.0
Poznañ;Chociszewskiego;44c;100;10;4;0.81;10.81
Poznañ;Chojnicka;72;125;5;0;0.0;5.0
Poznañ;Chopina;3;155;19;5;0.85;19.85
Poznañ;Czechos³owacka;29;98;10;4;0.21;10.21
Poznañ;Czes³awa Mi³osza;31;3;2;1;0.5;2.5
Poznañ;Czeœnikowska;18a;137;13;8;1.69;14.69
Poznañ;Czeœnikowska;19a;69;16;4;1.58;17.58
Poznañ;Darzyborska;1a;19;4;6;2.1;6.1
Poznañ;Dmowskiego;50;16;1;0;0.0;1.0
Poznañ;Dobrowita;22;87;7;2;0.88;7.88
Poznañ;Dojazd;3;75;9;2;0.17;9.17
Poznañ;Dolina;6;70;6;6;1.39;7.39
Poznañ;Drewlañska;10;26;2;0;0.0;2.0
Poznañ;Druskienicka;32;93;0;6;4.33;4.33
Poznañ;Dziurawcowa;11;9;0;1;0.63;0.63
Poznañ;D¹browskiego;172;16;1;0;0.0;1.0
Poznañ;Fabianowo;29;111;5;8;1.87;6.87
Poznañ;GARBARY;82;67;0;0;0.0;0.0
Poznañ;Gajowa;8/12;18;2;0;0.0;2.0
Poznañ;Galileusza;7;121;12;3;0.17;12.17
Poznañ;Galla Anonima;13;119;12;3;0.24;12.24
Poznañ;Gerberowa;30;21;4;0;0.0;4.0
Poznañ;Glebowa;36;13;2;0;0.0;2.0
