,Ulica Nr domu,x,y,Uczniowie,Etaty,Smiecowki,Etaty smieciowki,Suma etaty
0,A. Frycza - Modrzewskiego 3/88,19.945444,50.086833,13,0,3,0.65,0.7
1,AL.JANA PAWŁA II 192,19.939167,50.061668,100,9,0,0.0,9.0
2,ALEKSANDRY 17,20.017090,50.012715,75,0,0,0.0,0.0
3,ALINY 9,19.982623,50.090748,29,4,1,0.33,4.3
4,Agatowa 27,20.046839,50.021617,13,1,0,0.0,1.0
5,Al. 29 Listopada 195,19.939167,50.061668,48,5,0,0.0,5.0
6,Al. Jana Pawła II 78,19.939167,50.061668,43,5,1,0.25,5.3
7,Al. Kasztanowa 9,19.939167,50.061668,43,2,3,2.33,4.3
8,Aleksandry 15,20.018558,50.012033,170,13,4,1.96,15.0
9,Alfreda Dauna 97 lok.U8,19.976031,50.020693,11,2,0,0.0,2.0
10,B. Głowackiego 2,19.906266,50.076337,150,10,3,2.58,12.6
11,BATALIONU  SKAŁA AK 2,19.924205,50.087221,65,8,4,1.12,9.1
12,Babińskiego 1,19.892508,50.007436,195,16,2,0.56,16.6
13,Babińskiego 4,19.892695,50.007823,49,9,0,0.0,9.0
14,Bajana 8,19.973672,50.079248,56,4,2,1.0,5.0
15,Benedyktyńska 4,19.808561,50.016320,125,11,3,0.58,11.6
16,Białoprądnicka 10/29,19.937933,50.094346,125,0,9,1.49,1.5
17,Bielaka 5,19.877726,50.065973,55,6,4,1.16,7.2
18,Bieżanowska 40,19.988431,50.025462,163,14,3,0.87,14.9
19,Biskupia 16,19.935831,50.067665,24,2,3,0.13,2.1
20,Bitschana 4,19.969467,50.087978,13,1,2,0.75,1.8
21,Bobrzyńskiego 14,19.939167,50.061668,44,5,0,0.0,5.0
22,Bociana 6A/3,19.957170,50.093864,90,10,0,0.0,10.0
23,Borkowska 25,19.904994,50.003889,51,4,0,0.0,4.0
24,Brzeska 18f,20.198686,50.059247,21,3,0,0.0,3.0
25,Budryka 2,19.907180,50.067809,100,9,1,0.16,9.2
26,Bujaka 17,19.952733,50.010417,447,39,3,1.47,40.5
27,Bukszpanowa 22,20.067155,50.097178,43,3,0,0.0,3.0
28,Bułgarska 15,19.917559,50.026285,64,9,0,0.0,9.0
29,CHMIELENIEC 39,19.898040,50.017215,91,7,5,1.43,8.4
30,"CZORSZTYŃSKA, STATTLERA 3B, 26",19.984071,50.020647,158,0,15,3.0,3.0
31,"Chmieleniec 35/14,15",19.898875,50.017672,103,16,1,0.15,16.2
32,Ciechocińska 12,19.924693,50.002413,28,2,4,1.19,3.2
33,Cystersów 26C LU5,19.970400,50.062500,0,1,1,0.75,1.8
34,Czarnogórska 14,19.970875,50.019528,226,0,0,0.0,0.0
35,Dekarzy 17,19.923304,50.021226,39,3,0,0.0,3.0
36,Dekerta 18,19.966621,50.047022,99,0,1,0.08,0.1
37,Dekerta 24,19.967622,50.048366,142,12,0,0.0,12.0
38,Dietla 70,19.944332,50.055754,85,0,0,0.0,0.0
39,Dobczycka 76,19.957035,50.014561,23,2,1,0.2,2.2
40,Dobrego Pasterza 52,19.964481,50.087852,0,0,0,0.0,0.0
41,Doktora Judyma 16,19.939167,50.061668,44,4,1,0.67,4.7
42,Drukarska 5b,19.904545,50.023494,53,4,0,0.0,4.0
43,Duża Góra 30,20.021537,50.018226,107,16,4,0.51,16.5
