,﻿Miejscowość,Ulica,Nr domu,"Uczniowie, wychow., słuchacze",etaty,simiecowki,etaty smieciowki,suma ataty,y,x
1,Kraków,A. Frycza - Modrzewskiego,3/88,13,0,3,0.65,0.7,52.408333,16.933889
2,Kraków,AL.JANA PAWŁA II,192,100,9,0,0.0,9.0,52.408333,16.933889
3,Kraków,ALEKSANDRY,17,75,0,0,0.0,0.0,52.408333,16.933889
4,Kraków,ALINY,9,29,4,1,0.33,4.3,52.408333,16.933889
5,Kraków,Agatowa,27,13,1,0,0.0,1.0,52.408333,16.933889
6,Kraków,Al. 29 Listopada,195,48,5,0,0.0,5.0,52.408333,16.933889
7,Kraków,Al. Jana Pawła II,78,43,5,1,0.25,5.3,52.408333,16.933889
8,Kraków,Al. Kasztanowa,9,43,2,3,2.33,4.3,52.408333,16.933889
9,Kraków,Aleksandry,15,170,13,4,1.96,15.0,52.408643,16.921568
10,Kraków,Alfreda Dauna,97 lok.U8,11,2,0,0.0,2.0,52.408333,16.933889
11,Kraków,B. Głowackiego,2,150,10,3,2.58,12.6,52.408333,16.933889
12,Kraków,BATALIONU  SKAŁA AK,2,65,8,4,1.12,9.1,52.408333,16.933889
13,Kraków,Babińskiego,1,195,16,2,0.56,16.6,52.391847,16.859586
14,Kraków,Babińskiego,4,49,9,0,0.0,9.0,52.390747,16.860108
15,Kraków,Bajana,8,56,4,2,1.0,5.0,52.418053,16.861368
16,Kraków,Benedyktyńska,4,125,11,3,0.58,11.6,52.408333,16.933889
17,Kraków,Białoprądnicka,10/29,125,0,9,1.49,1.5,52.434946,16.839546
18,Kraków,Bielaka,5,55,6,4,1.16,7.2,52.408333,16.933889
19,Kraków,Bieżanowska,40,163,14,3,0.87,14.9,52.435642,16.834001
20,Kraków,Biskupia,16,24,2,3,0.13,2.1,52.408333,16.933889
21,Kraków,Bitschana,4,13,1,2,0.75,1.8,52.408333,16.933889
22,Kraków,Bobrzyńskiego,14,44,5,0,0.0,5.0,52.381104,16.973576
23,Kraków,Bociana,6A/3,90,10,0,0.0,10.0,52.408333,16.933889
24,Kraków,Borkowska,25,51,4,0,0.0,4.0,52.408333,16.933889
25,Kraków,Brzeska,18f,21,3,0,0.0,3.0,52.408333,16.933889
26,Kraków,Budryka,2,100,9,1,0.16,9.2,52.408333,16.933889
27,Kraków,Bujaka,17,447,39,3,1.47,40.5,52.408333,16.933889
28,Kraków,Bukszpanowa,22,43,3,0,0.0,3.0,52.408333,16.933889
29,Kraków,Bułgarska,15,64,9,0,0.0,9.0,52.397735,16.861912
30,Kraków,CHMIELENIEC,39,91,7,5,1.43,8.4,52.408333,16.933889
