miasto;Ulica;Nr domu;Kod poczt.;miasto;Publicznoœæ;Uczniowie;odzialy;pelnozatrudnieni;stos. Pracy;w etatach;suma etatów
Poznañ;Œwit;40/42;60-376;Poznañ;001;130;6.00;9;0;0.00;9.00
Poznañ;Wierzbêcice;64;61-548;Poznañ;001;135;6.00;13;7;2.03;15.03
Poznañ;Jawornicka;17;60-161;Poznañ;001;146;6.00;15;3;0.44;15.44
Poznañ;os. Oœwiecenia;26;61-206;Poznañ;001;123;5.00;11;4;0.55;11.55
Poznañ;Œwit;16A;60-375;Poznañ;001;118;5.00;12;4;0.33;12.33
Poznañ;Osinowa;14a;61-451;Poznañ;001;116;5.00;11;2;0.66;11.66
Poznañ;os.Rzeczypospolitej;7;61-395;Poznañ;001;124;5.00;9;4;1.03;10.03
Poznañ;Os.Pod Lipami;107;61-632;Poznañ;001;81;5.00;17;5;1.91;18.91
Poznañ;os. Piastowskie;105;61-164;Poznañ;001;116;5.00;11;7;1.77;12.77
Poznañ;P³omienna;1;60-392;Poznañ;001;117;5.00;9;3;1.61;10.61
Poznañ;os. Piastowskie;55;61-156;Poznañ;001;95;4.00;8;4;0.17;8.17
Poznañ;Biskupiñska;65;60-463;Poznañ;001;50;2.00;5;6;1.61;6.61
Poznañ;os. Bohaterów II Wojny Œwiat.;30;61-386;Poznañ;001;124;5.00;11;4;0.47;11.47
Poznañ;os. Piastowskie;26;61-148;Poznañ;001;99;4.00;8;5;1.07;9.07
Poznañ;Os. Pod Lipami;102;61-632;Poznañ;001;145;6.00;12;6;0.47;12.47
Poznañ;Os.PrzyjaŸni;135;61-687;Poznañ;001;125;5.00;16;3;0.35;16.35
Poznañ;Keplera;5;60-158;Poznañ;001;149;6.00;15;7;0.64;15.64
Poznañ;Osiedle Przyja¿ni;117;61-681;Poznañ;001;125;5.00;11;1;0.12;11.12
Poznañ;Os.Kosmonautów;108;61-642;Poznañ;001;123;5.00;10;9;1.55;11.55
Poznañ;Tczewska;11;60-454;Poznañ;001;140;7.00;14;9;1.95;15.95
Poznañ;Przyjazni;129;61-683;Poznañ;001;125;5.00;12;0;0.00;12.00
Poznañ;Sarmacka;5;61-616;Poznañ;001;100;4.00;10;5;0.43;10.43
Poznañ;Marcina Ro¿ka;9;60-465;Poznañ;001;149;6.00;13;3;0.46;13.46
Poznañ;os.Czecha;76;61-289;Poznañ;001;124;5.00;9;6;1.72;10.72
Poznañ;os.Boles³awa Chrobrego;121;60-681;Poznañ;001;164;7.00;18;3;0.58;18.58
Poznañ;ul. Œw. Antoniego;42;61-359;Poznañ;001;150;6.00;13;5;0.46;13.46
Poznañ;OS.RUSA;120;61-245;POZNAÑ;001;143;6.00;13;5;1.00;14.00
Poznañ;os. Winiary;2;60-665;Poznañ;001;190;9.00;21;4;1.05;22.05
Poznañ;Os.Kosmonautów;107;61-624;Poznañ;001;124;5.00;11;4;0.89;11.89
Poznañ;Sarmacka;105 A;61-616;Poznañ;001;64;3.00;7;4;0.63;7.63
Poznañ;OSIEDLE TYSI¥CLECIA;69;61-255;POZNAÑ;001;137;6.00;13;1;0.22;13.22
Poznañ;os. Rusa;7;61-245;Poznañ;001;73;5.00;8;4;0.41;8.41
Poznañ;B. Chrobrego;106;60-681;Poznañ;001;125;5.00;11;3;0.38;11.38
Poznañ;G³uszyna;206A;61-329;Poznañ;001;120;5.00;12;3;0.34;12.34
Poznañ;Podlaska;2;60-622;Poznañ;001;75;4.00;7;2;0.08;7.08
Poznañ;0s.Jana III Sobieskiego;108;60-688;Poznañ;001;149;5.96;13;10;1.49;14.49
Poznañ;Saperska;29;61-494;Poznañ;001;70;3.00;6;3;0.30;6.30
Poznañ;os. Or³a BIa³ego;72;61-251;Poznañ;001;125;5.00;14;8;0.69;14.69
Poznañ;os.Polan;1;61-253;Poznañ;001;42;3.00;5;3;0.89;5.89
Poznañ;os. Jana III Sobieskiego;106;60-688;Poznañ;001;150;6.00;12;9;1.27;13.27
Poznañ;Sióstr Misjonarek;1;61-680;Poznñ;001;49;2.75;8;3;0.41;8.41
Poznañ;os.Wichrowe Wzgórze;118;61-674;Poznañ;001;125;5.00;12;4;0.43;12.43
Poznañ;osiedle Dêbina;15;61-450;Poznañ;001;125;5.00;11;7;0.59;11.59
Poznañ;Osiedle Boles³awa Œmia³ego;105;60-682;Poznañ;001;175;7.00;13;8;1.60;14.60
Poznañ;Grobla;1;61-858;Poznañ;001;99;5.00;10;3;0.26;10.26
Poznañ;os. Or³a Bia³ego;29;61-251;Poznañ;001;125;5.00;11;2;0.18;11.18
Poznañ;Os. Or³a Bia³ego;102;61-251;Poznañ;001;123;5.00;12;10;0.79;12.79
Poznañ;Orzechowa;2 B;61-447;Poznañ;001;100;4.00;9;4;0.39;9.39
Poznañ;G³ogowska;97;60-265;Poznañ;001;98;4.00;11;7;0.95;11.95
Poznañ;Tomickiego;3;61-116;Poznañ;001;95;4.00;9;2;0.15;9.15
Poznañ;Galileusza;7;60-159;Poznañ;001;121;5.00;12;3;0.17;12.17
Poznañ;Ksiêcia Józefa;1/3;61-718;Poznañ;001;75;3.00;7;5;1.21;8.21
Poznañ;Dojazd;3;60-632;Poznañ;001;75;4.00;9;2;0.17;9.17
Poznañ;Micha³a Sobeskiego;1;60-566;Poznañ;001;133;6.00;14;3;0.29;14.29
Poznañ;Miel¿yñskiego;21;61-725;Poznañ;001;98;4.00;9;4;0.22;9.22
Poznañ;Chociszewskiego;44c;60-259;Poznañ;001;100;4.00;10;4;0.81;10.81
Poznañ;Os. Boles³awa Chrobrego;109;60-681;Poznañ;001;170;7.00;17;4;0.45;17.45
Poznañ;Perzycka;30B;60-182;Poznañ;001;175;8.00;20;5;1.38;21.38
Poznañ;oœ. Wichrowe Wzgórze;112;61-674;POZNAÑ;001;125;5.00;12;3;0.29;12.29
Poznañ;JUNIKOWSKA;15;60-163;POZNAÑ;001;125;5.00;10;3;1.04;11.04
Poznañ;Limanowskiego;23B;60-744;Poznañ;001;100;4.00;8;6;1.30;9.30
Poznañ;Œw. Kingi;1A;61-055;Poznañ;001;100;4.00;7;4;1.07;8.07
Poznañ;Czeœnikowska;18a;60-330;Poznañ;001;137;6.00;13;8;1.69;14.69
Poznañ;Pr¹dzyñskiego;15a;61-527;Poznañ;001;125;5.00;12;2;0.25;12.25
Poznañ;Romana Dmowskiego;17;60-222;Poznañ;001;137;6.00;11;7;1.75;12.75
Poznañ;Trzemeszeñska;12;61-038;Poznañ;001;168;7.00;16;2;1.19;17.19
Poznañ;Ksiê¿ycowa;10;60-281;Poznañ;001;175;7.00;17;3;0.63;17.63
Poznañ;SENATORSKA;1;60-326;POZNAÑ;001;72;3.00;5;4;1.09;6.09
Poznañ;£ukaszewicza;35;60-720;Poznañ;001;70;3.00;6;6;0.37;6.37
Poznañ;G³ogowska;40;60-736;Poznañ;001;74;3.00;7;6;0.84;7.84
Poznañ;os. Lecha;14;61-293;Poznañ;001;119;7.00;22;5;2.52;24.52
Poznañ;Dolina;6;61-551;Poznañ;001;70;3.00;6;6;1.39;7.39
Poznañ;Wolsztyñska;15;60-361;Poznañ;001;68;4.00;9;3;0.89;9.89
Poznañ;Lecha;79;61-296;Poznañ;001;138;6.00;13;6;1.34;14.34
Poznañ;WINOGRADY;24;61-663;POZNAÑ;001;45;2.00;4;5;1.19;5.19
Poznañ;Czechos³owacka;29;61-456;Poznañ;001;98;4.00;10;4;0.21;10.21
Poznañ;Noskowskiego;35/37;61-705;Poznañ;001;141;6.00;12;4;0.52;12.52
Poznañ;S³owicza;15;60-121;POZNAÑ;001;212;9.00;22;3;0.82;22.82
Poznañ;Piwna;1 A;61-066;Poznañ;001;93;4.00;9;5;0.43;9.43
Poznañ;Chopina;3;61-708;Poznañ;001;155;7.00;19;5;0.85;19.85
Poznañ;Miko³owska;14;60-102;Poznañ;001;70;3.00;7;3;0.55;7.55
Poznañ;Skarbka;9;60-348;Poznañ;001;75;4.00;7;5;1.08;8.08
Poznañ;Galla Anonima;13;60-547;Poznañ;001;119;5.00;12;3;0.24;12.24
Poznañ;os. Czecha;140;61-292;Poznañ;001;111;6.00;14;8;3.47;17.47
Poznañ;Kazimierza Wielkiego;19/21;61-863;Poznañ;001;178;8.00;17;9;3.54;20.54
Poznañ;Sporna;4;61-709;Poznañ;001;100;4.00;9;6;0.46;9.46
Poznañ;Marka H³aski;16;60-461;Poznañ;001;240;10.00;22;2;0.42;22.42
Poznañ;Bosa;16;60-125;Poznañ;001;75;3.00;6;5;0.57;6.57
Poznañ;Limbowa;2;61-446;Poznañ;001;46;4.00;20;3;1.60;21.60
Poznañ;Zawady;26;61-002;Poznañ;001;96;4.00;9;3;0.21;9.21
Poznañ;Kasztelañska;19;60-316;Poznañ;001;75;3.00;6;7;0.42;6.42
Poznañ;Juliusza S³owackiego;15;60-822;Poznañ;001;120;5.00;10;9;2.64;12.64
Poznañ;œw. Czes³awa;6A;61-575;Poznañ;001;100;5.00;8;4;0.43;8.43
Poznañ;Kasprzaka;46;60-245;Poznañ;001;85;4.00;9;5;0.79;9.79
Poznañ;Os. Jagielloñskie;9;61-226;Poznañ;001;99;4.00;8;5;0.50;8.50
Poznañ;Czeœnikowska;19a;60-329;Poznañ;001;69;5.00;16;4;1.58;17.58
Poznañ;Skibowa;13;61-312;Poznañ;001;200;8.00;21;2;0.37;21.37
Poznañ;Janickiego;24A;60-544;Poznañ;001;124;5.00;11;1;0.50;11.50
Poznañ;Pu³askiego;16;60-607;Poznañ;001;70;4.00;8;4;0.35;8.35
Poznañ;Wi¹zowa;5;61-432;Poznañ;001;122;5.00;11;4;0.59;11.59
Poznañ;Os. Boh. II Wojny Œwiatowej;1;61-388;Poznañ;001;121;5.00;14;3;0.31;14.31
Poznañ;os. Boles³awa Chrobrego;104;60-681;Poznañ;001;125;5.00;9;7;2.46;11.46
